child_segment,recommended_product,confidence,reason
Christmas Mom,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Christmas Mom,Mug,Medium,Holiday gift phrases can scale into drinkware.
Christmas Mom,Blanket,Medium,Seasonal family gifting can support cozy products.
Dad Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Dad Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Dad Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Dog Christmas,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Christmas,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Christmas,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Teacher Christmas,Mug,High,Profession and hobby segments have strong everyday-use fit.
Teacher Christmas,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Teacher Christmas,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Mom Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Mom Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Mom Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Mom Women,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Mom Women,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Mom Women,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Wife Christmas Ideas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Wife Christmas Ideas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Wife Christmas Ideas,Blanket,Medium,Seasonal family gifting can support cozy products.
Dad Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Dad Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Dad Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Husband Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Husband Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Husband Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Book Lover Women,Mug,High,Profession and hobby segments have strong everyday-use fit.
Book Lover Women,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Book Lover Women,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Cat Lovers,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Lovers,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Lovers,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Grandma Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Grandma Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Grandma Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Girls Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Girls Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Girls Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Boys Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Boys Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Boys Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Coffee Lover,Mug,High,Profession and hobby segments have strong everyday-use fit.
Coffee Lover,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Coffee Lover,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Cat Dad,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Dad,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Dad,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Soccer Boys,Tumbler,High,Interest-led segments work well on practical drinkware.
Soccer Boys,Mug,High,Interest phrases are short enough for repeatable mug designs.
Soccer Boys,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Cat Mom,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Mom,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Mom,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Teacher Appreciation,Mug,High,Profession and hobby segments have strong everyday-use fit.
Teacher Appreciation,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Teacher Appreciation,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Mother Of Bride,Mug,Medium,Default POD gift format for short demand phrases.
Mother Of Bride,Tumbler,Medium,Default practical product for personalized gift niches.
Mother Of Bride,Blanket,Low,Use as a validation product when the emotional angle is clear.
Husband Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Husband Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Husband Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Grandma Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Grandma Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Grandma Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Wife Birthday Ideas,Mug,Medium,Default POD gift format for short demand phrases.
Wife Birthday Ideas,Tumbler,Medium,Default practical product for personalized gift niches.
Wife Birthday Ideas,Blanket,Low,Use as a validation product when the emotional angle is clear.
1st Birthday Girl,Mug,Medium,Default POD gift format for short demand phrases.
1st Birthday Girl,Tumbler,Medium,Default practical product for personalized gift niches.
1st Birthday Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Flower Girl,Poster,Medium,Theme-led designs can be tested as wall decor.
Flower Girl,Mug,Medium,Visual themes transfer cleanly to drinkware.
Flower Girl,Blanket,Medium,Style-led themes can work on larger print surfaces.
Father Of Bride,Mug,Medium,Default POD gift format for short demand phrases.
Father Of Bride,Tumbler,Medium,Default practical product for personalized gift niches.
Father Of Bride,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Dad,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Dad,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Dad,Blanket,Medium,Style-led themes can work on larger print surfaces.
1st Birthday Boy,Mug,Medium,Default POD gift format for short demand phrases.
1st Birthday Boy,Tumbler,Medium,Default practical product for personalized gift niches.
1st Birthday Boy,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Dad Men,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Dad Men,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Dad Men,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Grandpa Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Grandpa Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Grandpa Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Cat Christmas,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Christmas,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Christmas,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Funny Cat,Blanket,High,Pet and memorial segments support emotional gift products.
Funny Cat,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Funny Cat,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Soccer Girls,Tumbler,High,Interest-led segments work well on practical drinkware.
Soccer Girls,Mug,High,Interest phrases are short enough for repeatable mug designs.
Soccer Girls,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Gamer Boys,Tumbler,High,Interest-led segments work well on practical drinkware.
Gamer Boys,Mug,High,Interest phrases are short enough for repeatable mug designs.
Gamer Boys,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Fishing Boys,Tumbler,High,Interest-led segments work well on practical drinkware.
Fishing Boys,Mug,High,Interest phrases are short enough for repeatable mug designs.
Fishing Boys,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Wedding Anniversary Husband,Mug,Medium,Default POD gift format for short demand phrases.
Wedding Anniversary Husband,Tumbler,Medium,Default practical product for personalized gift niches.
Wedding Anniversary Husband,Blanket,Low,Use as a validation product when the emotional angle is clear.
Cat Girls,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Girls,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Girls,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Anniversary Wife,Mug,Medium,Default POD gift format for short demand phrases.
Anniversary Wife,Tumbler,Medium,Default practical product for personalized gift niches.
Anniversary Wife,Blanket,Low,Use as a validation product when the emotional angle is clear.
Daughter Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Daughter Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Daughter Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Mom,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Mom,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Mom,Blanket,Medium,Style-led themes can work on larger print surfaces.
Funny Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Funny Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Funny Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Country Girl,Mug,Medium,Default POD gift format for short demand phrases.
Country Girl,Tumbler,Medium,Default practical product for personalized gift niches.
Country Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Birthday,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Birthday,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Birthday,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Mother Of Groom Dresses Wedding,Mug,Medium,Default POD gift format for short demand phrases.
Mother Of Groom Dresses Wedding,Tumbler,Medium,Default practical product for personalized gift niches.
Mother Of Groom Dresses Wedding,Blanket,Low,Use as a validation product when the emotional angle is clear.
Daughter In Law Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Daughter In Law Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Daughter In Law Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Halloween Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Halloween Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Halloween Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Grandpa Birthday,Mug,Medium,Default POD gift format for short demand phrases.
Grandpa Birthday,Tumbler,Medium,Default practical product for personalized gift niches.
Grandpa Birthday,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Wedding Outfit,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Wedding Outfit,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Wedding Outfit,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
