child_segment,segment_label_source,canonical_evidence_phrase,is_evidence_backed,observed_products,photo,name,multiple_names,birth_flower,clipart,line_art,hand_drawing,best_customization,explanation
Christmas Mom,observed_phrase,christmas gift for mom,True,,57,100,59,58,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Dad Christmas,observed_phrase,dad christmas gift,True,,57,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Dog Christmas,observed_phrase,dog christmas gift,True,,83,100,34,28,70,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; seasonal segments support themed clipart and names
Teacher Christmas,observed_phrase,teacher christmas gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Mom Birthday,observed_phrase,mom birthday gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Dog Mom Women,observed_phrase,dog mom gift for women,True,,95,100,59,58,70,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Wife Christmas Ideas,observed_phrase,wife christmas gift ideas,True,,47,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Dad Birthday,observed_phrase,dad birthday gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Husband Christmas,observed_phrase,gift for husband christmas,True,,47,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Book Lover Women,observed_phrase,book lover gift for women,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Cat Lovers,observed_phrase,gift for cat lovers,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Grandma Christmas,observed_phrase,grandma christmas gift,True,,57,100,59,58,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Girls Christmas,observed_phrase,girls christmas gift,True,,35,100,34,58,70,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; seasonal segments support themed clipart and names
Boys Christmas,observed_phrase,boys christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Coffee Lover,observed_phrase,coffee lover gift,True,,35,98,34,28,62,35,30,Name,gift and personalization wording supports name customization
Cat Dad,observed_phrase,cat dad gift,True,,95,100,59,28,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Soccer Boys,observed_phrase,soccer gift for boys,True,,35,100,34,28,77,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Cat Mom,observed_phrase,cat mom gift,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Teacher Appreciation,observed_phrase,teacher appreciation gift,True,Card,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Mother Of Bride,observed_phrase,mother of the bride gift,True,,65,98,84,68,52,63,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Husband Birthday,observed_phrase,husband birthday gift,True,,47,98,59,68,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Grandma Birthday,observed_phrase,grandma birthday gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Wife Birthday Ideas,observed_phrase,wife birthday gift ideas,True,,47,98,59,68,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
1st Birthday Girl,observed_phrase,1st birthday girl gift,True,,35,98,34,68,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Flower Girl,observed_phrase,flower girl gift,True,,35,98,34,68,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Father Of Bride,observed_phrase,father of the bride gift,True,,65,98,84,28,52,63,30,Name,"gift and personalization wording supports name customization; family recipient segments often need names and family details; relationship occasions favor names, dates, and line-art systems"
Funny Dad,observed_phrase,funny dad gift,True,,57,98,59,28,64,43,48,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; style-led segments can use reusable illustration systems
1st Birthday Boy,observed_phrase,1st birthday gift boy,True,,35,98,34,68,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Dog Dad Men,observed_phrase,dog dad gift for men,True,,95,100,59,28,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Grandpa Christmas,observed_phrase,grandpa christmas gift,True,,57,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Cat Christmas,observed_phrase,cat christmas gift,True,,83,100,34,28,70,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; seasonal segments support themed clipart and names
Funny Cat,observed_phrase,funny cat gift,True,,83,100,34,28,64,73,73,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; style-led segments can use reusable illustration systems
Soccer Girls,observed_phrase,soccer gift for girls,True,,35,100,34,58,77,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; profession and hobby segments fit simple clipart systems
Gamer Boys,observed_phrase,gamer gift for boys,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Fishing Boys,observed_phrase,fishing gift for boys,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Wedding Anniversary Husband,observed_phrase,wedding anniversary gift for husband,True,,65,98,84,28,52,63,30,Name,"gift and personalization wording supports name customization; family recipient segments often need names and family details; relationship occasions favor names, dates, and line-art systems"
Cat Girls,observed_phrase,cat gift for girls,True,,83,100,34,58,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; floral or family gifting language supports birth-flower variants
Anniversary Wife,observed_phrase,anniversary gift for wife,True,,65,98,84,28,52,63,30,Name,"gift and personalization wording supports name customization; family recipient segments often need names and family details; relationship occasions favor names, dates, and line-art systems"
Daughter Birthday,observed_phrase,daughter birthday gift,True,,35,98,34,68,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Funny Mom,observed_phrase,funny gift for mom,True,,57,100,59,58,82,43,48,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
